2026-06-14 13:52:26 | INFO     | Приложение запущено
2026-06-14 13:52:43 | INFO     | Отображается статистика
2026-06-14 13:53:58 | INFO     | Приложение запущено
2026-06-14 13:54:06 | INFO     | Таблица orders экспортирована в orders.json
2026-06-14 15:38:37 | INFO     | Таблица orders экспортирована в orders.json
2026-06-14 16:05:30 | INFO     | Приложение запущено
2026-06-14 16:06:32 | INFO     | Приложение запущено
2026-06-14 16:07:16 | INFO     | Приложение запущено
2026-06-14 16:10:28 | INFO     | Приложение запущено
2026-06-14 16:11:53 | INFO     | Приложение запущено
2026-06-14 16:11:56 | INFO     | Таблица orders экспортирована в orders.json
2026-06-14 16:12:21 | INFO     | Приложение запущено
2026-06-14 16:14:28 | INFO     | Приложение запущено
2026-06-14 16:26:51 | INFO     | Приложение запущено
2026-06-14 16:28:38 | INFO     | Приложение запущено
2026-06-14 16:29:06 | INFO     | Приложение запущено
2026-06-14 16:29:13 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:35:47 | INFO     | Приложение запущено
2026-06-14 16:35:54 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:36:14 | INFO     | Приложение запущено
2026-06-14 16:36:22 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:37:18 | INFO     | Приложение запущено
2026-06-14 16:37:27 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:37:39 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:37:46 | INFO     | Приложение запущено
2026-06-14 16:37:53 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 16:41:12 | INFO     | Приложение запущено
2026-06-14 16:41:22 | ERROR    | Файл orders.json не смог быть импортирован в таблицу orders
2026-06-14 17:37:49 | INFO     | Приложение запущено
2026-06-14 17:40:22 | INFO     | Файл orders.json успешно импортирован в таблицу orders
2026-06-14 17:41:00 | INFO     | Таблица orders экспортирована в orders.json
2026-06-14 21:28:20 | INFO     | Приложение запущено
2026-06-14 21:28:24 | INFO     | Отображается статистика
2026-06-14 21:28:29 | INFO     | Считается выручка за определённый срок
2026-06-14 21:28:33 | INFO     | Отображается статистика
